filename,words
292.jpg,"Kaguende ñuinukkurrimbe misagwan ashib karunrrabig kan webattrun cha,"
171.jpg,"Kan srusrɵ mu mɵɵbagucha kimíig kwanrriig kɵrrɵmisra,"
80.jpg,"Incha Josébe Marían nui nusrkawan tɵgagɵmnegatig keeba,"
239.jpg,Azorbe Sadocwei mɵskain gɵben;
158.jpg,Josébe kasharanrrab permɵwatɵ Maríabe Espíritu Santogurri kwanrriig kenamisrɵptinchibig kɵn.
281.jpg,"Inchen rey Herodesbe trendaigwan mɵrabe,"
95.jpg,"Judea birau,"
6.jpg,"Judábe Faresweimba,"
182.jpg,"Jesúsbe Judea birau Belén puebloyu kallabig kɵn,"
170.jpg,"Kerrigu ɵyeeg pureppe,"
102.jpg,Abrahambe Isaacwei mɵskain gɵben;
172.jpg,kan unɵ tɵgagɵnrrun.
128.jpg,Jotambe Acazwei mɵskain gɵben;
118.jpg,Isaíbe Davidwei mɵskain gɵbig kɵn.
107.jpg,"Zaraimba mɵskain gɵben,"
286.jpg,payibig kɵn: ¿Cristobe chu gallanrrabig kɵ? cha.
91.jpg,"Inchen reybe sacerdotesmeran karubelanba,"
282.jpg,ni mumaygucha gɵmui inchibig kɵn.
186.jpg,kɵriibala nune tabig waminchab amrruer cha.
100.jpg,"Ibe Jesucristoi merrabsrɵ misaamerai munchimera gɵn,"
71.jpg,"Kerrigu ɵyeeg pureppe,"
208.jpg,Esrombe Aramwei mɵskain gɵbig kɵn.
57.jpg,Incha tru israelitasmeran Babiloniamay srua ambub uraskurri tru Cristo kallamnegatiibe misaamera katɵgan catorce treetɵwei kurrab arrig kɵn.
0.jpg,"Ibe Jesucristoi merrabsrɵ misaamerai munchimera gɵn,"
175.jpg,(Tru Emanuel munchibe Tiusbe namba basran daig).
72.jpg,"Kan srusrɵ mu mɵɵbagucha kimíig kwanrriig kɵrrɵmisra,"
200.jpg,"tru Davidweinukkurrimba,"
223.jpg,Jorambe Uzíaswei mɵskain gɵbig kɵn.
103.jpg,Isaacbe Jacobwei mɵskain gɵben;
111.jpg,Arambe Aminadabwei mɵskain gɵben;
53.jpg,"Inchawei Abraham kɵb uraskurri merrabsrɵ kɵlli misaamerai ureemera katɵle srɵig,"
96.jpg,"ñi Belén pueblounɵbe,"
196.jpg,"tru birau purɵ wamindig ciudamerai utu ñibe chigucha gɵmɵzhig lataig kɵnrrab gɵmɵ,"
77.jpg,"Incha José tru piabyugurri kiagasrabe,"
269.jpg,trenchibig kɵn.
209.jpg,Arambe Aminadabwei mɵskain gɵben;
229.jpg,Amonbe Josíaswei mɵskain gɵbig kɵn.
26.jpg,Josafatbe Joramwei mɵskain gɵben;
123.jpg,Abíasbe Asaiwei mɵskain gɵbig kɵn.
13.jpg,Inchen Naasónbe Salmónwei mɵskaingue.
120.jpg,Uríaswei srain gɵbiibabe Salomónwɵi mɵskalɵ gɵbig kɵn.
259.jpg,"Señorwei kan ángel piabyu kenamisrabe trenchibig kɵn: José,"
99.jpg,"Kaguende ñuinukkurrimbe misagwan ashib karunrrabig kan webattrun cha,"
122.jpg,Roboambe Abíaswei mɵskain gɵben;
90.jpg,Inchen katɵ Jerusalén misaamerangucha treetɵweim bubig kɵn.
145.jpg,Inchen Eliudbe Eleazarwei mɵskain gɵben;
38.jpg,Jeconíasbe Salatielwei mɵskain gɵben;
201.jpg,Abrahambe Isaacwei mɵskain gɵben;
180.jpg,sraimba lataig nɵmui asrtɵga chi marmuig kɵn.
225.jpg,Jotambe Acazwei mɵskain gɵben;
205.jpg,"Zaraimba mɵskain gɵben,"
144.jpg,Inchen Aquimbe Eliudwei mɵskaingue.
119.jpg,"Inchen rey Davidba,"
55.jpg,"Inchen David kɵb uraskurri tru israelitasmeran Babiloniamay merrarrawa srua ambub uraskatig katɵgan catorce treetɵwei katɵle srɵig,"
242.jpg,Inchen Eliudbe Eleazarwei mɵskain gɵben;
89.jpg,ni mumaygucha gɵmui inchibig kɵn.
153.jpg,srɵig kurrab arrubig David kɵb uraskatiibe catorce gɵbig kɵn.
42.jpg,Eliaquimbe Azorwei mɵskain gɵbig kɵn.
33.jpg,Amonbe Josíaswei mɵskain gɵbig kɵn.
20.jpg,"Inchen rey Davidba,"
163.jpg,"Señorwei kan ángel piabyu kenamisrabe trenchibig kɵn: José,"
51.jpg,"tru Maríagurri Jesús kallaig kɵbig kɵn,"
190.jpg,"Inchen reybe sacerdotesmeran karubelanba,"
67.jpg,Kaguende tru unɵ tɵgagɵmibe Espíritu Santoin gɵn cha.
215.jpg,"Obedbe Isaíwei mɵskain gɵben,"
74.jpg,"Truibe Emanuel cha wamig kɵnrrun cha,"
86.jpg,"Kaguende nambe nui estrellan webarri asha,"
277.jpg,"Jesúsbe Judea birau Belén puebloyu kallabig kɵn,"
2.jpg,Abrahambe Isaacwei mɵskain gɵben;
113.jpg,Inchen Naasónbe Salmónwei mɵskaingue.
69.jpg,truigwane Jesús munchi basrtrig chibig kɵn.
127.jpg,Uzíasbe Jotamwei mɵskain gɵben;
237.jpg,Abiudbe Eliaquimwei mɵskain gɵben;
48.jpg,Matánbe Jacobwei mɵskain gɵben;
46.jpg,Inchen Eliudbe Eleazarwei mɵskain gɵben;
64.jpg,"Señorwei kan ángel piabyu kenamisrabe trenchibig kɵn: José,"
250.jpg,"Inchen David kɵb uraskurri tru israelitasmeran Babiloniamay merrarrawa srua ambub uraskatig katɵgan catorce treetɵwei katɵle srɵig,"
236.jpg,Zorobabelbe Abiudwei mɵskain gɵben;
78.jpg,"Señorwei ángel maig karuig kɵben treeg mara,"
54.jpg,srɵig kurrab arrubig David kɵb uraskatiibe catorce gɵbig kɵn.
126.jpg,Jorambe Uzíaswei mɵskain gɵbig kɵn.
105.jpg,nui nunelaimba mɵskain gɵbig kɵn.
232.jpg,tru israelitasmeran Babiloniamay merrarrawa srua ambub uras.
93.jpg,payibig kɵn: ¿Cristobe chu gallanrrabig kɵ? cha.
11.jpg,Arambe Aminadabwei mɵskain gɵben;
30.jpg,Acazbe Ezequíaswei mɵskain gɵbig kɵn.
243.jpg,Eleazarbe Matánwei mɵskain gɵben;
141.jpg,Eliaquimbe Azorwei mɵskain gɵbig kɵn.
156.jpg,Incha tru israelitasmeran Babiloniamay srua ambub uraskurri tru Cristo kallamnegatiibe misaamera katɵgan catorce treetɵwei kurrab arrig kɵn.
65.jpg,"ñi Davidwei misagugurri arrubig,"
276.jpg,Incha Josébe unane Jesús munchi basrɵbig kɵn.
179.jpg,"Incha Josébe Marían nui nusrkawan tɵgagɵmnegatig keeba,"
177.jpg,"Señorwei ángel maig karuig kɵben treeg mara,"
59.jpg,Josébe kasharanrrab permɵwatɵ Maríabe Espíritu Santogurri kwanrriig kenamisrɵptinchibig kɵn.
15.jpg,nui usrimbe Rahab gɵbig kɵn.
210.jpg,Aminadabpe Naasónwei mɵskain gɵbig kɵn.
193.jpg,Inchen nɵmbe trenchibelɵ gɵn: Judea birau Belén cha.
70.jpg,"Nɵbe ɵyeeg wamig kɵnrrun chibig kɵn,"
222.jpg,Josafatbe Joramwei mɵskain gɵben;
